"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7"
"Mắm chưng","1 miếng tròn","194","13.3","13.7","4.4","0.37"
"Mực xào sả ớt","1 đĩa","184","31","6.7","0.1","0.03"
"Mực xào thập cẩm","1 đĩa","136","17.4","5.9","3.5","0.58"
"Sườn nướng","1 miếng","111","10.3","7.3","1","0.01"
"Sườn ram","1 miếng","155","10.9","11.3","2.6","0.06"
"Tép rang","10 con","101","5.6","6.5","4.8","0.02"
"Thị heo quay","1 đĩa","146","9.2","12","0","0"
"Thịt bò xào đậu que","1 đĩa","195","16.8","6.9","16.6","1.25"
"Thịt bò xào giá hẹ","1 đĩa","143","15.6","6.9","4.8","1.87"
"Thịt bò xào hành tây","1 đĩa","132","11.8","6.9","5.8","0.77"
"Thịt bò xào măng","1 đĩa","104","10.5","6.9","0","0"
"Thịt bò xào nấm rơm","1 đĩa","152","13.5","9.6","2.9","0.92"
"Thịt heo phá lấu","1 đĩa","242","13.9","19.9","1.6","0.05"
"Thịt heo xào đậu que","1 đĩa","240","20.5","10.2","16.6","1.25"
"Thịt heo xào giá hẹ","1 đĩa","188","19.3","10.2","4.8","1.87"
"Thịt kho tiêu","1 đĩa","200","21.2","7.6","11.5","0.17"
"Thịt kho trứng","1 trứng+2 miếng thịt","315","19.8","22.9","7.5","0"
"Xíu mại","2 viên","104","11.9","4.2","4.6","0.3"
"Bánh bao chay","2 cái","220","10.5","4.7","34","0.61"
"Bông cải xào thập cẩm","1 đĩa","142","6.7","6.3","14.6","2.8"
"Bún bò huế","1 tô","479","18.4","16","65.3","3.3"
"Bún riêu","1 tô","482","16.5","16.8","66","3.4"
"Bún thịt nướng","1 tô","451","14.7","13.7","67.3","3.96"
"Bún xào","1 đĩa","570","23.4","28","56","2.17"
"Cá cơm lăn bột chiên","1 đĩa","316","6.7","17.3","33.4","0.64"
"Cà chua dồn thịt","2 trái","131","7.3","7.2","9.2","0.78"
"Cá mòi kho","1 đĩa","105","4.3","5","10.8","2.9"
"Cà ri","1 tô","278","7.8","11.4","36","1.86"
"Cà tím nướng","1 đĩa","33","1.5","0","6.8","2.25"
"Canh chua","1 tô","37","1.7","1","5.2","1.18"
"Canh kiểm","1 tô","291","5.4","13.1","37.7","1.67"
"Canh khổ qua hầm","1 tô","88","4.5","4","8.3","1.13"
"Canh rau ngót","1 tô","23","1.6","1.4","1.1","0.63"
"Cơm chiên dương châu","1 đĩa","530","14.9","11.3","92.7","1.56"
"Chả lụa chiên","1 cái tròn","336","36.7","18.5","5.7","0.22"
"Chả trứng chưng","1 đĩa","127","10.8","5.1","9.4","0.72"
"Đậu hủ chiên xả","1 miếng","148","11.6","11","0.7","0.4"
"Đậu hủ dồn thịt","1 miếng","196","9.1","14.3","7.8","0.58"
"Đậu hủ sốt cà","1 đĩa","239","18.1","13.6","11","1.44"
"Đùi gà chiên","1 cái","173","11","12.3","4.6","0.2"
"Gỏi bắp chuối","1 đĩa","124","5.1","6.4","11.3","3.24"
"Gỏi ngó sen","1 đĩa","286","12.2","9.3","38.4","2.62"
"Hủ tíu bò kho","1 tô","410","17","13.4","55.4","3.2"
"Mắm Thái","1 đĩa","167","11.1","7.4","13.9","6.21"
"Măng kho thập cẩm","1 đĩa","141","8.9","6.2","12.5","1.71"
"Mì bò viên","1 tô","456","19.5","14.4","62.1","3.37"
"Mì căn xào sả","1 đĩa","299","7.7","5.8","53.9","0.21"
"Mít kho","1 đĩa","100","3.7","5","10","3"
"Nấm rơm kho","1 đĩa","154","7.5","10.5","7.3","0.9"
"Sườn nướng","1 miếng","123","10.6","7.2","4.1","0.06"
"Sườn ram","1 miếng","264","8.3","5.8","46.7","0.19"
"Tàu hủ ky chiên","1 đĩa","306","37.2","15.4","4.8","0.22"
"Tôm lăn bột chiên","1 đĩa","247","2.6","10.1","36.3","0.51"
"Tôm sốt cà","1 đĩa","248","12.5","9.3","28.6","1.25"
"Thịt heo quay","1 đĩa","250","7","14.1","23.7","1.38"
"Thịt kho tiêu","1 đĩa","312","22.5","16","19.5","2.7"
"Bánh canh cua","1 tô","379","21.4","8.4","54.3","2.19"
"Bánh canh giò heo","1 tô","483","19","23.6","48.6","1.01"
"Bánh canh thịt gà","1 tô","346","12.8","11.1","48.5","1"
"Bánh canh thịt heo","1 tô","322","12.8","8.5","48.5","1"
"Bột chiên","1 đĩa","443","13.2","25.8","39.5","0.55"
"Bún bò huế (giò)","1 tô","622","30.2","30.6","56.4","2.76"
"Bún mắm","1 tô","480","28.2","15.5","56.8","3.26"
"Bún măng","1 tô","485","20.9","19.5","56.4","4.21"
"Bún mộc","1 tô","514","28.1","19.4","56.5","2.83"
"Bún riêu cua","1 tô","414","17.8","12.2","58","2.76"
"Bún riêu ốc","1 tô","531","28.4","17.2","65.5","2.73"
"Bún thịt nướng chả giò","1 tô","598","24","21.16","77.9","2.72"
"Canh bún","1 tô","296","13.6","6.9","44.6","1.55"
"Cháo đậu đỏ","1 tô","322","10.6","11.8","43.7","2.42"
"Cháo gỏi vịt","1 tô","930","50.2","60.3","47.1","2.62"
"Cháo huyết","1 tô","332","22.1","8.9","40.8","0.84"
"Cháo lòng","1 tô","412","30.8","13.5","41.7","0.84"
"Hoành thánh","1 tô","248","12.3","7.4","31.7","1.26"
"Hủ tíu bò kho","1 tô","538","34.2","26","41.6","1.29"
"Hủ tíu mì","1 tô","410","16.7","12.9","56.9","1.36"
"Hủ tíu Nam vang","1 tô","400","24.3","14.8","42.5","1.31"
"Hủ tíu thịt heo","1 tô","361","14.4","12.5","47.8","1.23"
"Hủ tíu xào","1 đĩa","646","41.4","25.5","62.8","1.67"
"Mì quảng","1 tô","541","22.4","20.2","67.4","2.73"
"Mì thịt heo","1 tô","415","19","8.2","66.4","1.71"
"Mì vịt tiềm","1 tô","776","32.9","43","64.5","1.57"
"Mì xào dòn","1 đĩa","638","42.2","29.3","51.6","1.83"
"Miến gà","1 tô","635","17.8","18.1","100.2","6.4"
"Nui chiên","1 đĩa","523","18.2","24.3","58","0.6"
"Nui thịt heo","1 đĩa","414","17.5","9.3","61.4","0.21"
"Phở bò chín","1 tô","456","20.9","12.2","59.3","2.28"
"Phở bò tái","1 tô","431","17.9","11.7","59.3","2.28"
"Phở bò viên","1 tô","431","16.3","14.1","59.6","2.21"
"Phở gà","1 tô","483","21.3","17.9","59.3","2.28"
"Bánh bao nhân cadé","1 cái","209","5.2","4.1","37.9","0.59"
"Bánh bao nhân thịt","1 cái","328","16.1","7.9","48.1","0.9"
"Bánh bèo (một loại)","1 đĩa","358","13.3","13.9","44.9","0.84"
"Bánh bèo thập cẩm","1 đĩa","608","15.6","21.6","88","0.89"
"Bánh bía","1 cái","709","16.1","29.8","91.3","1.84"
"Bánh bò","2 cái","100","1.1","4.5","13.8","0.55"
"Bánh bông lan cuốn","1 khoanh","155","4.2","2.2","28.9","0.1"
"Bánh bông lan chén","1 cái","217","4.3","12.1","22","0.11"
"Bánh bông lan kem vuông","1 cái nhỏ","260","5.2","9","38.9","0.11"
"Bánh bột lọc","1 đĩa","487","13.2","20.2","62.7","0.73"
"Bánh cay","1 cái nhỏ","25","0.2","1","3.6","0.13"
"Bánh cuốn","1 đĩa","590","25.7","25.6","64.3","1.53"
"Bánh chocopie","1 cái","120","1","5","18","0.08"
"Bánh chuối","1 miếng","560","4.3","13.9","90.9","1.77"
"Bánh chuối chiên","1 cái lớn","139","1","9.9","11.5","0.23"
"Bánh chưng","1 cái","407","14.9","5.5","74.7","1.98"
"Bánh da lợn","1 miếng","364","3.6","11.9","60.6","1.63"
"Bánh đậu xanh nướng","1 miếng","405","13.6","11.2","62.4","3.03"
"Bánh đậu xanh nướng","1 cái nhỏ","21","0.8","0.6","3.12","0.06"
"Bánh Flan","1 cái tròn","66","1.7","1.6","11.3","0"
"Bánh giò","1 cái","216","9.3","7.1","28.5","0.4"
"Bánh ít nhân dừa","1 cái","261","3.5","5.1","50.3","0.62"
"Bánh ít nhân đậu","1 cái","257","6.6","1.9","53.4","0.78"
"Bánh khoai mì nướng","1 miếng","392","2.8","14.5","62.5","2.26"
"Bánh khọt","1 đĩa 5 cái","154","5.8","7.08","16.8","2.9"
"Bánh lá chả tôm","1 đĩa","331","17.1","5.2","54.1","2.81"
"Bánh lá dứa nhân chuối","1 cái","154","4.8","3.7","25.4","0.87"
"Bánh lá dừa nhân đậu","1 cái","155","5.4","4.6","23.3","0.94"
"Bánh mè","1 cái nhỏ","170","3.1","11.7","13.1","0.14"
"Bánh men","1 cái nhỏ","4","0.1","0","0.7","0"
"Bánh mì cadé Kinh đô","1 cái","129","3","2","20.4","0"
"Bánh mì kẹp cá hộp","1 ổ","399","15.1","13.7","53.8","0.59"
"Bánh mì kẹp chà bông","1 ổ","337","18.4","4.8","53.7","1.01"
"Bánh mì kẹp chả lụa","1 ổ","431","20.1","14.2","55.6","1.01"
"Bánh mì ngọt Đức phát","1 ổ","304","9.5","4.9","55.3","0.23"
"Bánh mì ổ","1 ổ trung bình","239","7.6","0.8","50.5","0.19"
"Bánh mì sandwich","1 lát vuông","89","2.6","1.2","16.8","0.08"
"Bánh mì sandwich kẹp thịt","1 cái","468","18.9","26.2","38.9","0.88"
"Bánh mì thịt","1 ổ","461","17.8","18.7","55.3","1.01"
"Bánh patechaud","1 cái","374","10.5","20.2","37.3","0.15"
"Bánh phồng tôm","1 đĩa 5 cái","169","0.4","14.8","8.5","0"
"Bánh quy bơ (biscuit)","1 cái vuông nhỏ","38","0.9","0.5","7.5","0.05"
"Bánh snack","1 gói","124","4","3.7","18.4","0"
"Bánh su kem","1 cái","112","2.4","7.2","9.5","0.02"
"Bánh sừng trâu","1 cái","227","4.6","7.3","35.7","0.18"
"Bánh tét nhân chuối","1 cái","302","6.2","1.2","67.2","0.38"
"Bánh tét nhân đậu ngọt","1 cái","444","13.7","1.8","93.6","1.98"
"Bánh tét nhân mặn","1 cái","407","14.9","5.5","74.7","1.98"
"Bánh tiêu","1 cái lớn","132","1.9","7.8","13.5","0.1"
"Bánh ướt","1 đĩa","749","22.9","19.3","120.9","2.18"
"Bánh xèo","1 cái","517","15","19.3","70.9","4.31"
"Giò cháo quẩy","1 cái đôi","117","3.2","4.3","16.3","0.28"
"Há cảo","1 đĩa","363","7.4","12.2","56","0.75"
"Kẹo chocolate nhân đậu phộng","1 gói nhỏ","102","2.5","6.7","7.7","0"
"Kẹo dẻo","1 cái nhỏ","9","0.2","0","2","0"
"Kẹo dừa","1 viên nhỏ","31","0.1","0.9","5.7","0.19"
"Kẹo sữa","1 viên nhỏ","13","0.1","0.2","2.8","0"
"Kẹo trái cây","1 viên nhỏ","13","0","0","3.1","0"
"Bắp giã","1 gói","328","6.3","11","51.1","1.72"
"Chè bắp","1 chén","352","4.7","10.1","60.5","1.62"
"Chè chuối chưng","1 chén","332","3.5","10.7","55.7","1.72"
"Chè đậu đen","1 ly","419","13","9.8","69.8","2.93"
"Chè đậu trắng","1 ly","413","12","9.9","68.8","2.66"
"Chè đậu xanh đánh","1 chén","359","13.2","10.2","53.4","3.41"
"Chè đậu xanh phổ tai","1 ly","423","12.9","10.1","70.1","4.55"
"Chè nếp đậu trắng","1 chén","436","11.5","10","74.9","2.44"
"Chè nếp khoai môn","1 chén","385","","4.7","11","66.8"
"Chè táo xọn","1 chén","311","","7.4","9.6","48.6"
"Chè thạch nhãn","1 ly","199","","2.2","0.1","47.2"
"Chè thưng","1 chén","329","","7.1","11.9","48.4"
"Chè trôi nước","1 chén","513","","11.7","12","89.6"
"Sâm bổ lượng","1 ly","268","","6.4","0.5","59.5"
"Xôi bắp","1 gói","313","","8.2","8.3","51.3"
"Xôi đậu đen","1 gói","550","","17.4","11.1","95.6"
"Xôi đậu phộng","1 gói","659","","19.9","28.3","81.4"
"Xôi đậu xanh","1 gói","532","","15.4","11.2","92.8"
"Xôi gấc","1 gói","589","","12.1","13.8","102.4"
"Xôi khúc (cúc)","1 gói","395","","10.4","10.5","65"
"Xôi lá cẩm","1 gói","577","","15","11.3","104.3"
"Xôi mặn","1 gói","499","","17.9","18.9","64.7"
"Xôi nếp than","1 gói","515","","13.5","11","90.8"
"Xôi vị","1 gói","459","","11.6","13","74.2"
"Xôi vò","1 gói","509","","14.8","6.9","97.2"
"Hột vịt lộn","1 trái","98","","7.3","6.7","2.2"
"Hột vịt muối","1 trái","90","","6.4","7","0.5"
"Trứng cút","1 trái","17","","1.5","1.2","0.1"
"Trứng gà Mỹ","1 trái","81","","7.3","5.7","0.2"
"Trứng gà ta","1 trái","58","","5.2","4.1","0.2"
"Trứng vịt bắc thảo","1 trái","94","","6","7.3","0"
"Trứng vịt luộc","1 trái","90","","6.4","7","0.5"
"Bia","1 ly","141","","1.6","0","7.5"
"Cà phê đen phin","1 tách","40","","0","0","9.9"
"Cà phê sữa gói tan","1 tách","85","","1","2.4","14"
"Cocktail trái cây","1 ly","158","","0.9","0.1","38.6"
"Chôm chôm đóng hộp","1ly","138","","0.9","0","33.8"
"Kem cây Kido/Wall","1 cây","86","","1.3","3.7","11.1"
"Kem Cornetto","1 cây","202","","3.3","10.3","24"
"Kem hộp","1 hộp 500ml","381","","6","17","50.8"
"Nước cam vắt","1 ly","226","","0.9","0","55.7"
"Nước chanh","1 ly","149","","0.1","0","37.2"
"Nước ép trái cây đóng hộp","1 ly","74","","0","0","18.4"
"Nước mía","1 ly","106","","0","0","26"
"Nước ngọt có gaz","1 lon","146","","0","0","36.2"
"Nước rau má","1 ly","174","","4.4","0","39.2"
"Nước sâm","1 ly","74","","0","0","19.9"
"Phô mai Bò cười","1 miếng nhỏ","67","","4.6","5.4","0"
"Sinh tố","1 ly","277","","3.2","3.2","58.8"
"Sữa chua uống Yo-Most","1 hộp nhỏ","134","","2.8","1.9","28"
"Sữa chua Yoghurt Vinamilk","1 hủ nhỏ","137","","3.8","4","21.6"
"Sữa đặc có đường","1 hộp nhỏ","88","","2","2.4","14.7"
"Sữa đậu nành Tribeco","1 hộp nhỏ","136","","6","2.9","15"
"Sữa hộp Cô gái Hà lan","1 hộp nhỏ","152","","6.5","6","18.1"
"Thạch dừa","1 cái","14","","0.4","0","3.9"
"Trái dừa tươi","1 trái","128","","5.2","1.7","22.8"
"Vải đóng hộp","1 ly","129","","0.9","0","31.6"
"Bơ","1 trái","184","","3.5","17.1","4.2"
"Chuối cau","1 trái","25","","0.5","0.2","8.1"
"Chuối sứ","1 trái","54","","0.5","0.2","7.8"
"Thơm","1 miếng","17","","0.5","0","3.9"
"Xoài","1 trái","179","","1.6","0.8","41.2"
"Nhãn tiêu","1 trái","2","","0.4","0","0.4"
"Nhãn thường","1 trái","4","","0.1","0","0.9"
"Táo ta","1 trái","9","","0.2","0","2.1"
"Mít tố nữ","1 múi","10","","0.2","0","2.2"
"Mít nghệ","1 múi","11","","0.3","0","2.5"
"Vải đóng hộp","1 trái","9","","0.1","0","2.1"
"Chôm chôm","1 trái","14","","0.3","0","3.3"
"Măng cụt","1 trái","13","","0.1","0","3.5"
"Sầu riêng","1 trái","28","","0.5","0.3","5.7"
"Chuối khô","1 trái","42","","0.7","0","9.9"
"Hạt điều","1 đĩa","291","","9.2","24.7","8.2"
"Quýt","1 trái","28","","0.6","0","6.4"
"Nho khô","1 đĩa nhỏ","158","","1.4","0.1","41.7"
"Cóc","1 trái","34","","1","0","7.4"
"Nho Mỹ (đỏ/xanh)","100 gram","68","","0.4","0","16.5"
"Khoai môn","1 củ","57","","0.9","0.1","113.3"
"Chuối già","1 trái","74","","1.1","0.2","16.9"
"Dưa hấu","1 miếng","21","","1.6","0.3","3"
"Mãng cầu ta","1 trái","56","","1.4","0","12.6"
"Bưởi","1 múi","8","","0.1","0","5.1"
"Khoai lang","1 củ","131","","1.4","0.3","30.6"
"Bắp xào","1 đĩa","317","","10.4","12.3","41"
"Lê","1 trái","91","","1.4","0.4","20.6"
"Khoai từ","1 củ","98","","1.6","0","23"
"Khoai mì","1 khúc","137","","1","0.2","32.8"
"Táo tây","1 trái","107","","1.1","0","25.8"
"Bắp luộc","1 trái","192","","4.5","2.5","37.8"
"Bắp nướng","1 trái","272","","4.8","7.6","46"
"Mãng cầu xiêm","1 miếng","40","","1.4","0","8.6"
"Khế","1 trái","9","","0.4","0","1.9"
"Khoai tây","1 đĩa nhỏ","131","","0.6","8.9","12.3"
"Khoai lang chiên","100 gram","325","","2.6","15.8","43.1"
"Đậu phộng nấu","1 lon","395","","19","30.7","10.7"
"Đậu phộng da cá","1 đĩa nhỏ","270","","8.9","16.1","23.2"
"Đu đủ","1 miếng","125","","3.6","0","27.7"
"Hồng đỏ","1 trái","25","","0.6","0","5.6"
"Nho ta (tím)","100 gram","14","","0.4","0","3.1"
"Sơ ri","100 gram","14","","0.4","0","3.1"
"Dđậu phộng rang","1 đĩa nhỏ","573","","27.5","44.5","15.5"
"Đậu phộng chiên muối","1 đĩa nhỏ","618","","27.5","49.5","15.5"
"Cam","1 trái","68","","1.7","0","15.5"
"Chuối sấy","1 đĩa nhỏ","250","","1.8","10.7","37.5"
"Mít sấy","1 đĩa nhỏ","106","","1.8","2.7","19.4"
"Vú sữa","1 trái","83","","2","0","18.5"
"Ổi","1 trái","53","","1","0","12.3"
"Thanh long","1 trái","225","","7.3","0","49"
"Mận đỏ","1 trái","11","","0.3","0","2.5"
"Củ sắn","1 củ","52","","1.9","0","11.1"
